particle_size_nm,zeta_potential_mv,dose_ug_ml,exposure_time_h,material_type,surface_modification,cell_type,species,tissue,assay_method,cell_viability_percent
22.0,40.0,0.0,6.0,TiO2,unreported,HMDM,Human,blood_immune,LDH,100.0
22.0,40.0,1.0,6.0,TiO2,unreported,HMDM,Human,blood_immune,LDH,94.29368973100998
22.0,40.0,5.0,6.0,TiO2,unreported,HMDM,Human,blood_immune,LDH,95.3950262222974
22.0,40.0,10.0,6.0,TiO2,unreported,HMDM,Human,blood_immune,LDH,93.31246827947894
22.0,40.0,25.0,6.0,TiO2,unreported,HMDM,Human,blood_immune,LDH,94.56775503298934
22.0,40.0,75.0,6.0,TiO2,unreported,HMDM,Human,blood_immune,LDH,96.15801048891896
22.0,40.0,1.0,6.0,TiO2,unreported,HMDM,Human,blood_immune,LDH,98.55137816357588
22.0,40.0,5.0,6.0,TiO2,unreported,HMDM,Human,blood_immune,LDH,98.34141254720704
22.0,40.0,10.0,6.0,TiO2,unreported,HMDM,Human,blood_immune,LDH,98.8163012231554
22.0,40.0,25.0,6.0,TiO2,unreported,HMDM,Human,blood_immune,LDH,97.53959754241586
22.0,40.0,75.0,6.0,TiO2,unreported,HMDM,Human,blood_immune,LDH,98.5076940420495
22.0,40.0,100.0,6.0,TiO2,unreported,HMDM,Human,blood_immune,LDH,94.20410348909309
22.0,40.0,1.0,6.0,TiO2,unreported,HMDM,Human,blood_immune,LDH,91.54638159515248
22.0,40.0,5.0,6.0,TiO2,unreported,HMDM,Human,blood_immune,LDH,94.8174786935317
22.0,40.0,10.0,6.0,TiO2,unreported,HMDM,Human,blood_immune,LDH,93.689344302675
22.0,40.0,25.0,6.0,TiO2,unreported,HMDM,Human,blood_immune,LDH,95.60569486181583
22.0,40.0,50.0,6.0,TiO2,unreported,HMDM,Human,blood_immune,LDH,98.02124899420332
22.0,40.0,75.0,6.0,TiO2,unreported,HMDM,Human,blood_immune,LDH,95.3692300113306
22.0,40.0,0.0,24.0,TiO2,unreported,HMDM,Human,blood_immune,LDH,100.0
22.0,40.0,5.0,24.0,TiO2,unreported,HMDM,Human,blood_immune,LDH,97.71493957939632
22.0,40.0,10.0,24.0,TiO2,unreported,HMDM,Human,blood_immune,LDH,94.15211775516218
22.0,40.0,25.0,24.0,TiO2,unreported,HMDM,Human,blood_immune,LDH,94.33069227968583
22.0,40.0,50.0,24.0,TiO2,unreported,HMDM,Human,blood_immune,LDH,94.2925501482342
22.0,40.0,75.0,24.0,TiO2,unreported,HMDM,Human,blood_immune,LDH,82.22403301028105
22.0,40.0,100.0,24.0,TiO2,unreported,HMDM,Human,blood_immune,LDH,83.23133202725428
22.0,40.0,1.0,24.0,TiO2,unreported,HMDM,Human,blood_immune,LDH,90.8425096909197
22.0,40.0,5.0,24.0,TiO2,unreported,HMDM,Human,blood_immune,LDH,86.56649857637817
22.0,40.0,10.0,24.0,TiO2,unreported,HMDM,Human,blood_immune,LDH,82.57864224211863
22.0,40.0,25.0,24.0,TiO2,unreported,HMDM,Human,blood_immune,LDH,84.67291002023946
22.0,40.0,50.0,24.0,TiO2,unreported,HMDM,Human,blood_immune,LDH,89.68989056979177
22.0,40.0,75.0,24.0,TiO2,unreported,HMDM,Human,blood_immune,LDH,91.09292991664094
22.0,40.0,100.0,24.0,TiO2,unreported,HMDM,Human,blood_immune,LDH,92.47195636513328
22.0,40.0,5.0,24.0,TiO2,unreported,HMDM,Human,blood_immune,LDH,98.51607584501238
22.0,40.0,10.0,24.0,TiO2,unreported,HMDM,Human,blood_immune,LDH,95.75762572135204
22.0,40.0,25.0,24.0,TiO2,unreported,HMDM,Human,blood_immune,LDH,94.94146743610882
22.0,40.0,50.0,24.0,TiO2,unreported,HMDM,Human,blood_immune,LDH,94.55399835119536
22.0,40.0,75.0,24.0,TiO2,unreported,HMDM,Human,blood_immune,LDH,83.13107996702391
22.0,40.0,100.0,24.0,TiO2,unreported,HMDM,Human,blood_immune,LDH,84.51277823577905
