id,s_uuid_s,document_uuid_s,name_s,publicname_s,substanceType_s,owner_name_s,endpoint_s,effectendpoint_s,endpointcategory_s,guidance_s,loValue_d,unit_s,textValue_s
FCSV-b42b9514-9693-3b87-b40e-6920a55ffb8e/516,FCSV-bc77c03d-4e75-3fab-bb3d-17b983663819,FCSV-b42b9514-9693-3b87-b40e-6920a55ffb8e,G15.AC,G15.AC,NPO_401,Protein Corona Fingerprinting Predicts the Cellular Interaction of Gold and Silver Nanoparticles.csv,DLS,ZETA POTENTIAL,ZETA_POTENTIAL_SECTION,DOI: 10.1021/NN406018Q,-21.78,mV,
FCSV-b42b9514-9693-3b87-b40e-6920a55ffb8e/517,FCSV-bc77c03d-4e75-3fab-bb3d-17b983663819,FCSV-b42b9514-9693-3b87-b40e-6920a55ffb8e,G15.AC,G15.AC,NPO_401,Protein Corona Fingerprinting Predicts the Cellular Interaction of Gold and Silver Nanoparticles.csv,DLS,ZETA POTENTIAL,ZETA_POTENTIAL_SECTION,DOI: 10.1021/NN406018Q,-9.11,mV,
FCSV-1336b809-d516-3fd2-8d57-b77762cb2667/545,FCSV-8f5cd32a-3350-300b-91d0-87000ee5d7ee,FCSV-1336b809-d516-3fd2-8d57-b77762cb2667,G15.AHT,G15.AHT,NPO_401,Protein Corona Fingerprinting Predicts the Cellular Interaction of Gold and Silver Nanoparticles.csv,DLS,ZETA POTENTIAL,ZETA_POTENTIAL_SECTION,DOI: 10.1021/NN406018Q,15.22,mV,
FCSV-1336b809-d516-3fd2-8d57-b77762cb2667/546,FCSV-8f5cd32a-3350-300b-91d0-87000ee5d7ee,FCSV-1336b809-d516-3fd2-8d57-b77762cb2667,G15.AHT,G15.AHT,NPO_401,Protein Corona Fingerprinting Predicts the Cellular Interaction of Gold and Silver Nanoparticles.csv,DLS,ZETA POTENTIAL,ZETA_POTENTIAL_SECTION,DOI: 10.1021/NN406018Q,-8.79,mV,
FCSV-ebbffbd5-cd8a-3fb3-9fa7-aa8f45b36cbd/574,FCSV-9cc7dd73-d27f-35a0-a3f1-81a18429b76a,FCSV-ebbffbd5-cd8a-3fb3-9fa7-aa8f45b36cbd,G15.Ala-SH,G15.Ala-SH,NPO_401,Protein Corona Fingerprinting Predicts the Cellular Interaction of Gold and Silver Nanoparticles.csv,DLS,ZETA POTENTIAL,ZETA_POTENTIAL_SECTION,DOI: 10.1021/NN406018Q,-24.08,mV,
FCSV-ebbffbd5-cd8a-3fb3-9fa7-aa8f45b36cbd/575,FCSV-9cc7dd73-d27f-35a0-a3f1-81a18429b76a,FCSV-ebbffbd5-cd8a-3fb3-9fa7-aa8f45b36cbd,G15.Ala-SH,G15.Ala-SH,NPO_401,Protein Corona Fingerprinting Predicts the Cellular Interaction of Gold and Silver Nanoparticles.csv,DLS,ZETA POTENTIAL,ZETA_POTENTIAL_SECTION,DOI: 10.1021/NN406018Q,-6.73,mV,
FCSV-4204bf57-51eb-3c34-8494-07cab70af296/603,FCSV-5b29295c-f2ab-3e5a-bb32-37caac38b002,FCSV-4204bf57-51eb-3c34-8494-07cab70af296,G15.Asn-SH,G15.Asn-SH,NPO_401,Protein Corona Fingerprinting Predicts the Cellular Interaction of Gold and Silver Nanoparticles.csv,DLS,ZETA POTENTIAL,ZETA_POTENTIAL_SECTION,DOI: 10.1021/NN406018Q,-20.27,mV,
FCSV-4204bf57-51eb-3c34-8494-07cab70af296/604,FCSV-5b29295c-f2ab-3e5a-bb32-37caac38b002,FCSV-4204bf57-51eb-3c34-8494-07cab70af296,G15.Asn-SH,G15.Asn-SH,NPO_401,Protein Corona Fingerprinting Predicts the Cellular Interaction of Gold and Silver Nanoparticles.csv,DLS,ZETA POTENTIAL,ZETA_POTENTIAL_SECTION,DOI: 10.1021/NN406018Q,-8.29,mV,
FCSV-e75b2536-884a-319d-93f8-3b9bc4c47c63/632,FCSV-f3d54c07-7dd4-3124-b5bf-341eb9eb4e82,FCSV-e75b2536-884a-319d-93f8-3b9bc4c47c63,G15.AUT,G15.AUT,NPO_401,Protein Corona Fingerprinting Predicts the Cellular Interaction of Gold and Silver Nanoparticles.csv,DLS,ZETA POTENTIAL,ZETA_POTENTIAL_SECTION,DOI: 10.1021/NN406018Q,16.35,mV,
FCSV-e75b2536-884a-319d-93f8-3b9bc4c47c63/633,FCSV-f3d54c07-7dd4-3124-b5bf-341eb9eb4e82,FCSV-e75b2536-884a-319d-93f8-3b9bc4c47c63,G15.AUT,G15.AUT,NPO_401,Protein Corona Fingerprinting Predicts the Cellular Interaction of Gold and Silver Nanoparticles.csv,DLS,ZETA POTENTIAL,ZETA_POTENTIAL_SECTION,DOI: 10.1021/NN406018Q,-7.95,mV,
FCSV-5a524eff-aecf-370c-9084-74493402e97a/661,FCSV-0fe5f223-9c02-363c-a23c-70f1f36ffbec,FCSV-5a524eff-aecf-370c-9084-74493402e97a,G15.CALNN,G15.CALNN,NPO_401,Protein Corona Fingerprinting Predicts the Cellular Interaction of Gold and Silver Nanoparticles.csv,DLS,ZETA POTENTIAL,ZETA_POTENTIAL_SECTION,DOI: 10.1021/NN406018Q,-21.42,mV,
FCSV-5a524eff-aecf-370c-9084-74493402e97a/662,FCSV-0fe5f223-9c02-363c-a23c-70f1f36ffbec,FCSV-5a524eff-aecf-370c-9084-74493402e97a,G15.CALNN,G15.CALNN,NPO_401,Protein Corona Fingerprinting Predicts the Cellular Interaction of Gold and Silver Nanoparticles.csv,DLS,ZETA POTENTIAL,ZETA_POTENTIAL_SECTION,DOI: 10.1021/NN406018Q,-6.54,mV,
