id,s_uuid_s,document_uuid_s,name_s,publicname_s,substanceType_s,owner_name_s,endpoint_s,effectendpoint_s,guidance_s,reference_s,loValue_d,unit_s
XLSX-8780e971-9a1e-4c96-b7dd-df6906f459c1/9032,XLSX-7011cea0-1011-3f8b-9e8a-b3289fed836a,XLSX-8780e971-9a1e-4c96-b7dd-df6906f459c1,NM-103 (TiO2),Titanium Dioxide,NPO_1486,FP7 MARINA,"CELL VIABILITY - CELL MEMBRANE DAMAGE: LACTATE DEHYDROGENASE ASSAY (LDH)  (CYTOTOX 96® NON-RADIOACTIVE CYTOTOXICITY ASSAY - PROMEGA, G1780) ",% CELL VIABILITY,CYTOTOXICITY USING HUMAN MONOCYTE-DERIVED MACROPHAGES (HMDM),http://dx.doi.org/10.1371/journal.pone.0127174,100.0,%
XLSX-8780e971-9a1e-4c96-b7dd-df6906f459c1/9033,XLSX-7011cea0-1011-3f8b-9e8a-b3289fed836a,XLSX-8780e971-9a1e-4c96-b7dd-df6906f459c1,NM-103 (TiO2),Titanium Dioxide,NPO_1486,FP7 MARINA,"CELL VIABILITY - CELL MEMBRANE DAMAGE: LACTATE DEHYDROGENASE ASSAY (LDH)  (CYTOTOX 96® NON-RADIOACTIVE CYTOTOXICITY ASSAY - PROMEGA, G1780) ",% CELL VIABILITY,CYTOTOXICITY USING HUMAN MONOCYTE-DERIVED MACROPHAGES (HMDM),http://dx.doi.org/10.1371/journal.pone.0127174,94.29368973100998,%
XLSX-8780e971-9a1e-4c96-b7dd-df6906f459c1/9034,XLSX-7011cea0-1011-3f8b-9e8a-b3289fed836a,XLSX-8780e971-9a1e-4c96-b7dd-df6906f459c1,NM-103 (TiO2),Titanium Dioxide,NPO_1486,FP7 MARINA,"CELL VIABILITY - CELL MEMBRANE DAMAGE: LACTATE DEHYDROGENASE ASSAY (LDH)  (CYTOTOX 96® NON-RADIOACTIVE CYTOTOXICITY ASSAY - PROMEGA, G1780) ",% CELL VIABILITY,CYTOTOXICITY USING HUMAN MONOCYTE-DERIVED MACROPHAGES (HMDM),http://dx.doi.org/10.1371/journal.pone.0127174,95.3950262222974,%
XLSX-8780e971-9a1e-4c96-b7dd-df6906f459c1/9035,XLSX-7011cea0-1011-3f8b-9e8a-b3289fed836a,XLSX-8780e971-9a1e-4c96-b7dd-df6906f459c1,NM-103 (TiO2),Titanium Dioxide,NPO_1486,FP7 MARINA,"CELL VIABILITY - CELL MEMBRANE DAMAGE: LACTATE DEHYDROGENASE ASSAY (LDH)  (CYTOTOX 96® NON-RADIOACTIVE CYTOTOXICITY ASSAY - PROMEGA, G1780) ",% CELL VIABILITY,CYTOTOXICITY USING HUMAN MONOCYTE-DERIVED MACROPHAGES (HMDM),http://dx.doi.org/10.1371/journal.pone.0127174,93.31246827947894,%
XLSX-8780e971-9a1e-4c96-b7dd-df6906f459c1/9036,XLSX-7011cea0-1011-3f8b-9e8a-b3289fed836a,XLSX-8780e971-9a1e-4c96-b7dd-df6906f459c1,NM-103 (TiO2),Titanium Dioxide,NPO_1486,FP7 MARINA,"CELL VIABILITY - CELL MEMBRANE DAMAGE: LACTATE DEHYDROGENASE ASSAY (LDH)  (CYTOTOX 96® NON-RADIOACTIVE CYTOTOXICITY ASSAY - PROMEGA, G1780) ",% CELL VIABILITY,CYTOTOXICITY USING HUMAN MONOCYTE-DERIVED MACROPHAGES (HMDM),http://dx.doi.org/10.1371/journal.pone.0127174,94.56775503298934,%
XLSX-8780e971-9a1e-4c96-b7dd-df6906f459c1/9037,XLSX-7011cea0-1011-3f8b-9e8a-b3289fed836a,XLSX-8780e971-9a1e-4c96-b7dd-df6906f459c1,NM-103 (TiO2),Titanium Dioxide,NPO_1486,FP7 MARINA,"CELL VIABILITY - CELL MEMBRANE DAMAGE: LACTATE DEHYDROGENASE ASSAY (LDH)  (CYTOTOX 96® NON-RADIOACTIVE CYTOTOXICITY ASSAY - PROMEGA, G1780) ",% CELL VIABILITY,CYTOTOXICITY USING HUMAN MONOCYTE-DERIVED MACROPHAGES (HMDM),http://dx.doi.org/10.1371/journal.pone.0127174,102.2568093385214,%
XLSX-8780e971-9a1e-4c96-b7dd-df6906f459c1/9038,XLSX-7011cea0-1011-3f8b-9e8a-b3289fed836a,XLSX-8780e971-9a1e-4c96-b7dd-df6906f459c1,NM-103 (TiO2),Titanium Dioxide,NPO_1486,FP7 MARINA,"CELL VIABILITY - CELL MEMBRANE DAMAGE: LACTATE DEHYDROGENASE ASSAY (LDH)  (CYTOTOX 96® NON-RADIOACTIVE CYTOTOXICITY ASSAY - PROMEGA, G1780) ",% CELL VIABILITY,CYTOTOXICITY USING HUMAN MONOCYTE-DERIVED MACROPHAGES (HMDM),http://dx.doi.org/10.1371/journal.pone.0127174,96.15801048891895,%
XLSX-8780e971-9a1e-4c96-b7dd-df6906f459c1/9039,XLSX-7011cea0-1011-3f8b-9e8a-b3289fed836a,XLSX-8780e971-9a1e-4c96-b7dd-df6906f459c1,NM-103 (TiO2),Titanium Dioxide,NPO_1486,FP7 MARINA,"CELL VIABILITY - CELL MEMBRANE DAMAGE: LACTATE DEHYDROGENASE ASSAY (LDH)  (CYTOTOX 96® NON-RADIOACTIVE CYTOTOXICITY ASSAY - PROMEGA, G1780) ",% CELL VIABILITY,CYTOTOXICITY USING HUMAN MONOCYTE-DERIVED MACROPHAGES (HMDM),http://dx.doi.org/10.1371/journal.pone.0127174,102.30079512772797,%
XLSX-8780e971-9a1e-4c96-b7dd-df6906f459c1/9040,XLSX-7011cea0-1011-3f8b-9e8a-b3289fed836a,XLSX-8780e971-9a1e-4c96-b7dd-df6906f459c1,NM-103 (TiO2),Titanium Dioxide,NPO_1486,FP7 MARINA,"CELL VIABILITY - CELL MEMBRANE DAMAGE: LACTATE DEHYDROGENASE ASSAY (LDH)  (CYTOTOX 96® NON-RADIOACTIVE CYTOTOXICITY ASSAY - PROMEGA, G1780) ",% CELL VIABILITY,CYTOTOXICITY USING HUMAN MONOCYTE-DERIVED MACROPHAGES (HMDM),http://dx.doi.org/10.1371/journal.pone.0127174,100.0,%
XLSX-8780e971-9a1e-4c96-b7dd-df6906f459c1/9041,XLSX-7011cea0-1011-3f8b-9e8a-b3289fed836a,XLSX-8780e971-9a1e-4c96-b7dd-df6906f459c1,NM-103 (TiO2),Titanium Dioxide,NPO_1486,FP7 MARINA,"CELL VIABILITY - CELL MEMBRANE DAMAGE: LACTATE DEHYDROGENASE ASSAY (LDH)  (CYTOTOX 96® NON-RADIOACTIVE CYTOTOXICITY ASSAY - PROMEGA, G1780) ",% CELL VIABILITY,CYTOTOXICITY USING HUMAN MONOCYTE-DERIVED MACROPHAGES (HMDM),http://dx.doi.org/10.1371/journal.pone.0127174,98.55137816357589,%
